"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"19","tt0103759","Thu Apr 27 00:00:00 2017","","","Bad Lieutenant","Feature Film","Abel Ferrara","7","7.1","96","1992","crime, drama, thriller","31287","1992-05-14","http://www.imdb.com/title/tt0103759/"
"59","tt0490215","Sat Mar 18 00:00:00 2017","","","Silence","Feature Film","Martin Scorsese","7","7.3","161","2016","adventure, drama, history","52932","2016-11-29","http://www.imdb.com/title/tt0490215/"
"63","tt1783732","Fri Mar 17 00:00:00 2017","","","John Dies at the End","Feature Film","Don Coscarelli","9","6.4","99","2012","comedy, horror, sci_fi","31695","2012-01-23","http://www.imdb.com/title/tt1783732/"
"146","tt1895587","Thu Jun 23 00:00:00 2016","","","Spotlight","Feature Film","Tom McCarthy","8","8.1","128","2015","crime, drama, history","273083","2015-09-03","http://www.imdb.com/title/tt1895587/"
"136","tt1675434","Sat Sep 10 00:00:00 2016","","","The Intouchables","Feature Film","Olivier Nakache, Eric Toledano","10","8.6","112","2011","biography, comedy, drama","563117","2011-09-23","http://www.imdb.com/title/tt1675434/"
"150","tt2802144","Mon May 30 00:00:00 2016","","","Kingsman: The Secret Service","Feature Film","Matthew Vaughn","8","7.7","129","2014","action, adventure, comedy, thriller","443889","2014-12-13","http://www.imdb.com/title/tt2802144/"
"151","tt0475290","Mon May 30 00:00:00 2016","","","Hail, Caesar!","Feature Film","Ethan Coen, Joel Coen","8","6.3","106","2016","comedy, mystery","90481","2016-02-01","http://www.imdb.com/title/tt0475290/"
"153","tt1179933","Fri May 13 00:00:00 2016","","","10 Cloverfield Lane","Feature Film","Dan Trachtenberg","9","7.2","104","2016","drama, horror, mystery, sci_fi, thriller","196878","2016-03-08","http://www.imdb.com/title/tt1179933/"
"167","tt3460252","Thu Mar 24 00:00:00 2016","","","The Hateful Eight","Feature Film","Quentin Tarantino","8","7.8","187","2015","crime, drama, mystery, thriller, western","345820","2015-12-07","http://www.imdb.com/title/tt3460252/"
"168","tt3235888","Wed Mar 16 00:00:00 2016","","","It Follows","Feature Film","David Robert Mitchell","7","6.9","100","2014","horror, mystery","138782","2014-05-17","http://www.imdb.com/title/tt3235888/"
"170","tt0090728","Tue Mar  8 00:00:00 2016","","","Big Trouble in Little China","Feature Film","John Carpenter","7","7.3","99","1986","action, adventure, comedy, fantasy","99858","1986-07-02","http://www.imdb.com/title/tt0090728/"
"178","tt1190536","Mon Feb 22 00:00:00 2016","","","Black Dynamite","Feature Film","Scott Sanders","9","7.4","84","2009","action, comedy","37934","2009-01-18","http://www.imdb.com/title/tt1190536/"
"219","tt0083907","Tue Nov 10 00:00:00 2015","","","The Evil Dead","Feature Film","Sam Raimi","7","7.5","85","1981","horror","151528","1981-10-15","http://www.imdb.com/title/tt0083907/"
"256","tt0149460","Tue Sep  1 00:00:00 2015","","","Futurama","TV Series","","9","8.5","22","1999","animation, comedy, sci_fi","168686","1999-03-28","http://www.imdb.com/title/tt0149460/"
"290","tt1465522","Wed Aug 19 00:00:00 2015","","","Tucker and Dale vs Evil","Feature Film","Eli Craig","9","7.6","89","2010","comedy, horror","137649","2010-01-22","http://www.imdb.com/title/tt1465522/"
"293","tt0091042","Mon Aug 17 00:00:00 2015","","","Ferris Bueller's Day Off","Feature Film","John Hughes","8","7.8","103","1986","comedy","260035","1986-06-11","http://www.imdb.com/title/tt0091042/"
"314","tt0088680","Wed Aug 12 00:00:00 2015","","","After Hours","Feature Film","Martin Scorsese","8","7.7","97","1985","comedy, crime, drama, thriller","42982","1985-09-11","http://www.imdb.com/title/tt0088680/"
"315","tt0370986","Wed Aug 12 00:00:00 2015","","","Mysterious Skin","Feature Film","Gregg Araki","8","7.7","105","2004","drama, mystery","59056","2004-09-03","http://www.imdb.com/title/tt0370986/"
"324","tt0816692","Wed Aug 12 00:00:00 2015","","","Interstellar","Feature Film","Christopher Nolan","10","8.6","169","2014","adventure, drama, sci_fi","1059047","2014-10-26","http://www.imdb.com/title/tt0816692/"
"328","tt0050083","Wed Aug 12 00:00:00 2015","","","12 Angry Men","Feature Film","Sidney Lumet","9","8.9","96","1957","crime, drama","495246","1957-04-10","http://www.imdb.com/title/tt0050083/"
"336","tt0056592","Wed Aug 12 00:00:00 2015","","","To Kill a Mockingbird","Feature Film","Robert Mulligan","9","8.3","129","1962","crime, drama","233752","1962-12-25","http://www.imdb.com/title/tt0056592/"
"356","tt0113627","Wed Aug 12 00:00:00 2015","","","Leaving Las Vegas","Feature Film","Mike Figgis","8","7.6","111","1995","drama, romance","98108","1995-09-15","http://www.imdb.com/title/tt0113627/"
"372","tt0190590","Mon Aug  3 00:00:00 2015","","","O Brother, Where Art Thou?","Feature Film","Joel Coen","9","7.8","107","2000","adventure, comedy, crime, music","238927","2000-05-13","http://www.imdb.com/title/tt0190590/"
"413","tt0094947","Thu May 21 00:00:00 2015","","","Dangerous Liaisons","Feature Film","Stephen Frears","7","7.7","119","1988","drama, romance","55106","1988-12-11","http://www.imdb.com/title/tt0094947/"
"414","tt0138704","Thu May 21 00:00:00 2015","","","Pi","Feature Film","Darren Aronofsky","8","7.5","84","1998","drama, horror, mystery, sci_fi, thriller","148880","1998-01","http://www.imdb.com/title/tt0138704/"
"425","tt0100263","Thu May 21 00:00:00 2015","","","La Femme Nikita","Feature Film","Luc Besson","8","7.4","117","1990","action, thriller","57579","1990-02-21","http://www.imdb.com/title/tt0100263/"
"440","tt1540133","Thu May 21 00:00:00 2015","","","The Guard","Feature Film","John Michael McDonagh","8","7.3","96","2011","comedy, thriller","68399","2011-01-20","http://www.imdb.com/title/tt1540133/"
"446","tt0059113","Thu May 21 00:00:00 2015","","","Doctor Zhivago","Feature Film","David Lean","8","8.0","197","1965","drama, romance, war","58519","1965-12-22","http://www.imdb.com/title/tt0059113/"
"464","tt0243133","Wed May 20 00:00:00 2015","","","The Man Who Wasn't There","Feature Film","Joel Coen","9","7.6","116","2001","crime, drama","89708","2001-05-13","http://www.imdb.com/title/tt0243133/"
"541","tt0367279","Wed May 20 00:00:00 2015","","","Arrested Development","TV Series","","10","8.9","22","2003","comedy","225740","2003-11-02","http://www.imdb.com/title/tt0367279/"
"866","tt0117381","Wed May 20 00:00:00 2015","","","Primal Fear","Feature Film","Gregory Hoblit","8","7.7","129","1996","crime, drama, mystery, thriller","141751","1996-04-03","http://www.imdb.com/title/tt0117381/"
"867","tt0074812","Wed May 20 00:00:00 2015","","","Logan's Run","Feature Film","Michael Anderson","7","6.8","119","1976","action, sci_fi","42375","1976-06-23","http://www.imdb.com/title/tt0074812/"
"868","tt0096256","Wed May 20 00:00:00 2015","","","They Live","Feature Film","John Carpenter","7","7.3","94","1988","action, horror, sci_fi, thriller","81032","1988-11-04","http://www.imdb.com/title/tt0096256/"
"900","tt0069293","Wed May 20 00:00:00 2015","","","Solaris","Feature Film","Andrey Tarkovskiy","8","8.1","167","1972","drama, mystery, sci_fi","59228","1972-05-13","http://www.imdb.com/title/tt0069293/"
"901","tt1601913","Wed May 20 00:00:00 2015","","","The Grey","Feature Film","Joe Carnahan","7","6.8","117","2011","action, adventure, drama, thriller","212017","2011-12-11","http://www.imdb.com/title/tt1601913/"
"994","tt2267998","Fri Jan 23 00:00:00 2015","","","Gone Girl","Feature Film","David Fincher","9","8.1","149","2014","crime, drama, mystery, thriller","642180","2014-09-26","http://www.imdb.com/title/tt2267998/"
"996","tt1345836","Fri Jan 23 00:00:00 2015","","","The Dark Knight Rises","Feature Film","Christopher Nolan","8","8.5","164","2012","action, thriller","1230463","2012-07-16","http://www.imdb.com/title/tt1345836/"
"992","tt0078748","Fri Jan 23 00:00:00 2015","","","Alien","Feature Film","Ridley Scott","9","8.5","117","1979","horror, sci_fi","618814","1979-05-25","http://www.imdb.com/title/tt0078748/"
"997","tt1631867","Fri Jan 23 00:00:00 2015","","","Edge of Tomorrow","Feature Film","Doug Liman","9","7.9","113","2014","action, adventure, sci_fi","475964","2014-05-28","http://www.imdb.com/title/tt1631867/"
"988","tt0469494","Fri Jan 23 00:00:00 2015","","","There Will Be Blood","Feature Film","Paul Thomas Anderson","9","8.1","158","2007","drama, history","403597","2007-09-27","http://www.imdb.com/title/tt0469494/"
"990","tt0361748","Fri Jan 23 00:00:00 2015","","","Inglourious Basterds","Feature Film","Quentin Tarantino","9","8.3","153","2009","adventure, drama, war","966748","2009-05-20","http://www.imdb.com/title/tt0361748/"
"991","tt1375666","Fri Jan 23 00:00:00 2015","","","Inception","Feature Film","Christopher Nolan","8","8.8","148","2010","action, adventure, sci_fi, thriller","1594521","2010-07-08","http://www.imdb.com/title/tt1375666/"
"993","tt0993846","Fri Jan 23 00:00:00 2015","","","The Wolf of Wall Street","Feature Film","Martin Scorsese","9","8.2","180","2013","biography, comedy, crime, drama","872410","2013-12-17","http://www.imdb.com/title/tt0993846/"
"995","tt0093779","Fri Jan 23 00:00:00 2015","","","The Princess Bride","Feature Film","Rob Reiner","8","8.1","98","1987","adventure, family, fantasy, romance","315135","1987-09-18","http://www.imdb.com/title/tt0093779/"
