"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0113189","Wed Jun 28 00:00:00 2017","","","GoldenEye","Feature Film","Martin Campbell","6","7.2","130","1995","action, adventure, thriller","207138","1995-11-13","http://www.imdb.com/title/tt0113189/"
"2","tt0444653","Tue Jun 27 00:00:00 2017","","","Keeping Mum","Feature Film","Niall Johnson","6","6.8","99","2005","comedy, crime","29466","2005-12-02","http://www.imdb.com/title/tt0444653/"
"3","tt1127180","Tue Jun 27 00:00:00 2017","","","Drag Me to Hell","Feature Film","Sam Raimi","7","6.6","99","2009","horror, thriller","164898","2009-03-15","http://www.imdb.com/title/tt1127180/"
"4","tt5442430","Tue Jun 27 00:00:00 2017","","","Life","Feature Film","Daniel Espinosa","6","6.7","104","2017","horror, sci_fi, thriller","79899","2017-03-18","http://www.imdb.com/title/tt5442430/"
"5","tt3731562","Mon Jun 26 00:00:00 2017","","","Kong: Skull Island","Feature Film","Jordan Vogt-Roberts","6","6.8","118","2017","action, adventure, fantasy, sci_fi","110359","2017-02-28","http://www.imdb.com/title/tt3731562/"
"6","tt2763304","Sun Jun 11 00:00:00 2017","","","T2 Trainspotting","Feature Film","Danny Boyle","8","7.4","117","2017","drama","47794","2017-01-22","http://www.imdb.com/title/tt2763304/"
"7","tt4425200","Tue Jun  6 00:00:00 2017","","","John Wick: Chapter 2","Feature Film","Chad Stahelski","7","7.7","122","2017","action, crime, thriller","139704","2017-01-30","http://www.imdb.com/title/tt4425200/"
"8","tt5247022","Tue Jun  6 00:00:00 2017","","","Paterson","Feature Film","Jim Jarmusch","9","7.4","118","2016","comedy, drama, romance","28911","2016-05-16","http://www.imdb.com/title/tt5247022/"
"9","tt3315342","Tue May 30 00:00:00 2017","","","Logan","Feature Film","James Mangold","7","8.3","137","2017","action, drama, sci_fi, thriller","319149","2017-02-17","http://www.imdb.com/title/tt3315342/"
"10","tt5052448","Mon May 29 00:00:00 2017","","","Get Out","Feature Film","Jordan Peele","8","7.8","104","2017","horror, mystery","135607","2017-01-23","http://www.imdb.com/title/tt5052448/"
"11","tt1386588","Fri May 19 00:00:00 2017","","","The Other Guys","Feature Film","Adam McKay","7","6.7","107","2010","action, comedy, crime","200941","2010-08-02","http://www.imdb.com/title/tt1386588/"
"12","tt4262980","Tue May 16 00:00:00 2017","","","Shin Godzilla","Feature Film","Hideaki Anno, Cris George","7","6.8","120","2016","action, adventure, drama, horror, sci_fi","8915","2016-07-25","http://www.imdb.com/title/tt4262980/"
"13","tt0112688","Wed May 10 00:00:00 2017","","","Clockers","Feature Film","Spike Lee","6","6.9","128","1995","crime, drama, mystery","17383","1995-09-05","http://www.imdb.com/title/tt0112688/"
"14","tt0166396","Wed May 10 00:00:00 2017","","","Waking Ned Devine","Feature Film","Kirk Jones","6","7.4","91","1998","comedy","22228","1998-09-15","http://www.imdb.com/title/tt0166396/"
"15","tt0102266","Wed May 10 00:00:00 2017","","","The Last Boy Scout","Feature Film","Tony Scott","6","6.9","105","1991","action, thriller","79309","1991-12-12","http://www.imdb.com/title/tt0102266/"
"16","tt0112857","Thu Apr 27 00:00:00 2017","","","Devil in a Blue Dress","Feature Film","Carl Franklin","7","6.7","102","1995","crime, drama, mystery, thriller","14157","1995-09-16","http://www.imdb.com/title/tt0112857/"
"17","tt0196216","Thu Apr 27 00:00:00 2017","","","Small Time Crooks","Feature Film","Woody Allen","7","6.7","94","2000","comedy, crime","32554","2000-05-19","http://www.imdb.com/title/tt0196216/"
"18","tt0100685","Thu Apr 27 00:00:00 2017","","","State of Grace","Feature Film","Phil Joanou, Michael Lee Baron","7","7.3","134","1990","action, crime, drama, romance, thriller","17479","1990-09-14","http://www.imdb.com/title/tt0100685/"
"19","tt0103759","Thu Apr 27 00:00:00 2017","","","Bad Lieutenant","Feature Film","Abel Ferrara","7","7.1","96","1992","crime, drama, thriller","31287","1992-05-14","http://www.imdb.com/title/tt0103759/"
"20","tt0971209","Thu Apr 27 00:00:00 2017","","","A Perfect Getaway","Feature Film","David Twohy","6","6.5","98","2009","adventure, mystery, thriller","58858","2009-08-06","http://www.imdb.com/title/tt0971209/"
"21","tt0108149","Wed Apr 26 00:00:00 2017","","","Six Degrees of Separation","Feature Film","Fred Schepisi","8","6.9","112","1993","comedy, drama, mystery","17230","1993-12-08","http://www.imdb.com/title/tt0108149/"
"22","tt0115736","Wed Apr 26 00:00:00 2017","","","Bound","Feature Film","The Wachowski Brothers, The Wachowski Brothers","7","7.4","108","1996","crime, romance, thriller","43044","1996-08-31","http://www.imdb.com/title/tt0115736/"
"23","tt0115956","Wed Apr 26 00:00:00 2017","","","Courage Under Fire","Feature Film","Edward Zwick","6","6.6","116","1996","action, drama, mystery, thriller, war","42513","1996-07-12","http://www.imdb.com/title/tt0115956/"
"24","tt3783958","Wed Apr 26 00:00:00 2017","","","La La Land","Feature Film","Damien Chazelle","7","8.2","128","2016","comedy, drama, music, musical, romance","274544","2016-08-31","http://www.imdb.com/title/tt3783958/"
"25","tt0462504","Wed Apr 26 00:00:00 2017","","","Rescue Dawn","Feature Film","Werner Herzog","7","7.3","120","2006","adventure, biography, drama, war","88326","2006-09-09","http://www.imdb.com/title/tt0462504/"
"26","tt0360009","Tue Apr 25 00:00:00 2017","","","Spartan","Feature Film","David Mamet","6","6.6","106","2004","action, crime, drama, mystery, thriller","27193","2004-01-31","http://www.imdb.com/title/tt0360009/"
"27","tt4972582","Thu Apr 13 00:00:00 2017","","","Split","Feature Film","M. Night Shyamalan","7","7.3","117","2016","horror, thriller","177955","2016-09-26","http://www.imdb.com/title/tt4972582/"
"28","tt1441912","Thu Apr  6 00:00:00 2017","","","The Way","Feature Film","Emilio Estevez","7","7.4","123","2010","adventure, comedy, drama","24623","2010-09-10","http://www.imdb.com/title/tt1441912/"
"29","tt0127349","Mon Apr  3 00:00:00 2017","","","Waking the Dead","Feature Film","Keith Gordon","6","6.7","105","2000","drama, mystery, romance, thriller","6127","2000-01-22","http://www.imdb.com/title/tt0127349/"
"30","tt0165854","Sun Apr  2 00:00:00 2017","","","The Limey","Feature Film","Steven Soderbergh","7","7.1","89","1999","crime, drama, mystery, thriller","25549","1999-05-15","http://www.imdb.com/title/tt0165854/"
"31","tt2023690","Sun Apr  2 00:00:00 2017","","","Sightseers","Feature Film","Ben Wheatley","6","6.5","88","2012","adventure, comedy, crime, horror, romance","22344","2012-05-23","http://www.imdb.com/title/tt2023690/"
"32","tt0228786","Sun Apr  2 00:00:00 2017","","","The Crimson Rivers","Feature Film","Mathieu Kassovitz","7","6.9","106","2000","crime, mystery, thriller","50693","2000-09-27","http://www.imdb.com/title/tt0228786/"
"33","tt3708886","Sun Apr  2 00:00:00 2017","","","War on Everyone","Feature Film","John Michael McDonagh","6","5.9","98","2016","action, comedy","10498","2016-02-12","http://www.imdb.com/title/tt3708886/"
"34","tt0124901","Sat Apr  1 00:00:00 2017","","","Thursday","Feature Film","Skip Woods","7","7.2","87","1998","action, comedy, crime, drama, mystery, thriller","14637","1998-09-10","http://www.imdb.com/title/tt0124901/"
